N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
1;piscinaaliss;Piscina Aliss;Turismo;-2.1695201;-79.82371;;;;CREATE(parquesanjose)-[:DISTANCIA_A {distancia:0.25, recorrido:0.6}]->(parquecdlamodular),
2;parquesanjose;Parque San Jose;Parque;-2.1639611;-79.81846;;;;(parquesanjose)-[:DISTANCIA_A {distancia:0.19, recorrido:0.23}]->(parquecdla16deoctubre),
3;parquecdlamodular;Parque cdla. Modular;Parque;-2.1639611;-79.81846;;;;(parquesanjose)-[:DISTANCIA_A {distancia:1.96, recorrido:0.28}]->(parqueacuaticoheroesnacionales),
4;parquecdla16deoctubre;Parque cdla. 16 de octubre;Parque;-2.1563901;-79.8199956;;;;(parquecdla16deoctubre)-[:DISTANCIA_A {distancia:2.79, recorrido:0.35}]->(parquedelaprimavera1),
5;parqueacuaticoheroesnacionales;Parque Acuatico Heroes Nacionales;Parque;-2.1647219;-79.8284987;;;;(parquecdla16deoctubre)-[:DISTANCIA_A {distancia:0.32, recorrido:0.4}]->(parquerecreacionalcdlarioguayas),
6;parquedelaprimavera1;Parque de la primavera 1;Parque;-2.1679811;-79.846609;;;;(parquecdla16deoctubre)-[:DISTANCIA_A {distancia:3.05, recorrido:4.4}]->(parquealamadre),
7;parquerecreacionalcdlarioguayas;Parque recreacional Cdla. Rio Guayas;Parque;-2.1679811;-79.846609;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA_A {distancia:1.3, recorrido:3}]->(parquedelaprimavera1),
8;parquealamadre;Parque a la Madre;Parque;-2.1757861;-79.8507289;;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA_A {distancia:1.71, recorrido:3.1}]->(parquerecreacionalcdlarioguayas),
9;parquecolinasdelvalle;Parque Colinas Del Valle;Parque;-2.1757861;-79.8507289;;;;(parquedelaprimavera1)-[:DISTANCIA_A {distancia:0.02, recorrido:7}]->(parquerecreacionalcdlarioguayas),
10;parqueprimavera;Parque Primavera;Parque;-2.1812753;-79.8506859;;;;(parquedelaprimavera1)-[:DISTANCIA_A {distancia:1.29, recorrido:2.1}]->(parquealamadre),
