N;Nombre;Lugar;Tipo;Latitud;Longitud;;
1;piscinaaliss;Piscina Aliss;Turismo;-2.1695201;-79.82371;;CREATE(piscinaaliss:Lugar{name:'Piscina Aliss', lat:-2.1695201, lon:-79.82371}),
2;parquesanjose;Parque San Jose;Parque;-2.1639611;-79.81846;;(parquesanjose:Lugar{name:'Parque San Jose', lat:-2.1639611, lon:-79.81846}),
3;parquecdlamodular;Parque cdla. Modular;Parque;-2.1639611;-79.81846;;(parquecdlamodular:Lugar{name:'Parque cdla. Modular', lat:-2.1639611, lon:-79.81846}),
4;parquecdla16deoctubre;Parque cdla. 16 de octubre;Parque;-2.1563901;-79.8199956;;(parquecdla16deoctubre:Lugar{name:'Parque cdla. 16 de octubre', lat:-2.1563901, lon:-79.8199956}),
5;parqueacuaticoheroesnacionales;Parque Acuatico Heroes Nacionales;Parque;-2.1647219;-79.8284987;;(parqueacuaticoheroesnacionales:Lugar{name:'Parque Acuatico Heroes Nacionales', lat:-2.1647219, lon:-79.8284987}),
6;parquedelaprimavera1;Parque de la primavera 1;Parque;-2.1679811;-79.846609;;(parquedelaprimavera1:Lugar{name:'Parque de la primavera 1', lat:-2.1679811, lon:-79.846609}),
7;parquerecreacionalcdlarioguayas;Parque recreacional Cdla. Rio Guayas;Parque;-2.1679811;-79.846609;;(parquerecreacionalcdlarioguayas:Lugar{name:'Parque recreacional Cdla. Rio Guayas', lat:-2.1679811, lon:-79.846609}),
8;parquealamadre;Parque a la Madre;Parque;-2.1757861;-79.8507289;;(parquealamadre:Lugar{name:'Parque a la Madre', lat:-2.1757861, lon:-79.8507289}),
9;parquecolinasdelvalle;Parque Colinas Del Valle;Parque;-2.1757861;-79.8507289;;(parquecolinasdelvalle:Lugar{name:'Parque Colinas Del Valle', lat:-2.1757861, lon:-79.8507289}),
10;parqueprimavera;Parque Primavera;Parque;-2.1812753;-79.8506859;;(parqueprimavera:Lugar{name:'Parque Primavera', lat:-2.1812753, lon:-79.8506859}),
11;skatemunicipaldeduranprima2;Skate Municipal De Durán prima. 2;Parque;-2.1812753;-79.8506859;;(skatemunicipaldeduranprima2:Lugar{name:'Skate Municipal De Durán prima. 2', lat:-2.1812753, lon:-79.8506859}),
12;parqueecologicoduran;Parque Ecologico Duran;Parque;-2.1812753;-79.8506859;;(parqueecologicoduran:Lugar{name:'Parque Ecologico Duran', lat:-2.1812753, lon:-79.8506859}),
13;parqueprimavera2;Parque Primavera 2;Parque;-2.1812753;-79.8506859;;(parqueprimavera2:Lugar{name:'Parque Primavera 2', lat:-2.1812753, lon:-79.8506859}),
14;canteracerrogrande;Cantera cerro grande;Parque;-2.1780517;-79.8027142;;(canteracerrogrande:Lugar{name:'Cantera cerro grande', lat:-2.1780517, lon:-79.8027142}),
15;primerparque4taetrecreo;Primer Parque 4ta Et. Recreo;Parque;-2.1727774;-79.8003684;;(primerparque4taetrecreo:Lugar{name:'Primer Parque 4ta Et. Recreo', lat:-2.1727774, lon:-79.8003684}),
16;canchasdeindor;Canchas de Indor;Parque;-2.1709738;-79.8011604;;(canchasdeindor:Lugar{name:'Canchas de Indor', lat:-2.1709738, lon:-79.8011604}),
17;parquedela5taetapa;Parque De La 5ta Etapa;Parque;-2.1709738;-79.8011604;;(parquedela5taetapa:Lugar{name:'Parque De La 5ta Etapa', lat:-2.1709738, lon:-79.8011604}),
18;areasverdes;Areas verdes;ReservaNatual;-2.1842531;-79.8450631;;(areasverdes:Lugar{name:'Areas verdes', lat:-2.1842531, lon:-79.8450631}),
