;;Origigen;;;Destino;;;;;
Parque San Jose;parquesanjose;2;0.25;0.6;3;Parque cdla. Modular;parquecdlamodular;;;(parquesanjose)-[:DISTANCIA { distancia:0.25, recorrido: 0.6}]->(parquecdlamodular),
Parque San Jose;parquesanjose;2;1.4;0.22;4;Parque cdla. 16 de octubre;parquecdla16deoctubre;;;(parquesanjose)-[:DISTANCIA { distancia:1.4, recorrido: 0.22}]->(parquecdla16deoctubre),
Parque San Jose;parquesanjose;2;1.96;2.7;5;Parque Acuatico Heroes Nacionales;parqueacuaticoheroesnacionales;;;(parquesanjose)-[:DISTANCIA { distancia:1.96, recorrido: 2.7}]->(parqueacuaticoheroesnacionales),
Parque cdla. Modular;parquecdlamodular;3;0.5;2.5;4;Parque cdla. 16 de octubre;parquecdla16deoctubre;;;(parquecdlamodular)-[:DISTANCIA { distancia:0.5, recorrido: 2.5}]->(parquecdla16deoctubre),
Parque cdla. Modular;parquecdlamodular;3;4.64;7.1;8;Parque a la Madre;parquealamadre;;;(parquecdlamodular)-[:DISTANCIA { distancia:4.64, recorrido: 7.1}]->(parquealamadre),
Parque cdla. 16 de octubre;parquecdla16deoctubre;4;2.79;4.6;6;Parque de la primavera 1;parquedelaprimavera1;;;(parquecdla16deoctubre)-[:DISTANCIA { distancia:2.79, recorrido: 4.6}]->(parquedelaprimavera1),
Parque Acuatico Heroes Nacionales;parqueacuaticoheroesnacionales;5;1.3;2.6;6;Parque de la primavera 1;parquedelaprimavera1;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA { distancia:1.3, recorrido: 2.6}]->(parquedelaprimavera1),
Parque Acuatico Heroes Nacionales;parqueacuaticoheroesnacionales;5;1.71;3.2;7;Parque recreacional Cdla. Rio Guayas;parquerecreacionalcdlarioguayas;;;(parqueacuaticoheroesnacionales)-[:DISTANCIA { distancia:1.71, recorrido: 3.2}]->(parquerecreacionalcdlarioguayas),
Parque recreacional Cdla. Rio Guayas;parquerecreacionalcdlarioguayas;7;0.96;1.6;8;Parque a la Madre;parquealamadre;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:0.96, recorrido: 1.6}]->(parquealamadre),
Parque de la primavera 1;parquedelaprimavera1;6;1.29;2;8;Parque a la Madre;parquealamadre;;;(parquedelaprimavera1)-[:DISTANCIA { distancia:1.29, recorrido: 2}]->(parquealamadre),
Parque de la primavera 1;parquedelaprimavera1;6;0.58;0.6;9;Parque Colinas Del Valle;parquecolinasdelvalle;;;(parquedelaprimavera1)-[:DISTANCIA { distancia:0.58, recorrido: 0.6}]->(parquecolinasdelvalle),
Parque recreacional Cdla. Rio Guayas;parquerecreacionalcdlarioguayas;7;0.32;0.55;6;Parque de la primavera 1;parquedelaprimavera1;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:0.32, recorrido: 0.55}]->(parquedelaprimavera1),
Parque recreacional Cdla. Rio Guayas;parquerecreacionalcdlarioguayas;7;1.22;1.8;9;Parque Colinas Del Valle;parquecolinasdelvalle;;;(parquerecreacionalcdlarioguayas)-[:DISTANCIA { distancia:1.22, recorrido: 1.8}]->(parquecolinasdelvalle),
;;;;;;;;;;
Parque Primavera;parqueprimavera;10;0.83;3.5;11;Skate Municipal De Durán prima. 2;skatemunicipaldeduranprima2;;;(parqueprimavera)-[:DISTANCIA { distancia:0.83, recorrido: 3.5}]->(skatemunicipaldeduranprima2),
Parque Primavera;parqueprimavera;10;1.94;2.9;12;Parque Ecologico Duran;parqueecologicoduran;;;(parqueprimavera)-[:DISTANCIA { distancia:1.94, recorrido: 2.9}]->(parqueecologicoduran),
Skate Municipal De Durán prima. 2;skatemunicipaldeduranprima2;11;0.35;0.6;13;Parque Primavera 2;parqueprimavera2;;;(skatemunicipaldeduranprima2)-[:DISTANCIA { distancia:0.35, recorrido: 0.6}]->(parqueprimavera2),
Skate Municipal De Durán prima. 2;skatemunicipaldeduranprima2;11;0.79;0.8;12;Parque Ecologico Duran;parqueecologicoduran;;;(skatemunicipaldeduranprima2)-[:DISTANCIA { distancia:0.79, recorrido: 0.8}]->(parqueecologicoduran),
Parque Ecologico Duran;parqueecologicoduran;12;0.91;1.6;13;Parque Primavera 2;parqueprimavera2;;;(parqueecologicoduran)-[:DISTANCIA { distancia:0.91, recorrido: 1.6}]->(parqueprimavera2),
Parque Ecologico Duran;parqueecologicoduran;12;6.63;10.2;14;Cantera cerro grande;canteracerrogrande;;;(parqueecologicoduran)-[:DISTANCIA { distancia:6.63, recorrido: 10.2}]->(canteracerrogrande),
Parque Primavera 2;parqueprimavera2;13;5.68;9.3;14;Cantera cerro grande;canteracerrogrande;;;(parqueprimavera2)-[:DISTANCIA { distancia:5.68, recorrido: 9.3}]->(canteracerrogrande),
Parque Primavera 2;parqueprimavera2;13;5.24;8.5;15;Primer Parque 4ta Et. Recreo;primerparque4taetrecreo;;;(parqueprimavera2)-[:DISTANCIA { distancia:5.24, recorrido: 8.5}]->(primerparque4taetrecreo),
Cantera cerro grande;canteracerrogrande;14;0.91;2.2;15;Primer Parque 4ta Et. Recreo;primerparque4taetrecreo;;;(canteracerrogrande)-[:DISTANCIA { distancia:0.91, recorrido: 2.2}]->(primerparque4taetrecreo),
Cantera cerro grande;canteracerrogrande;14;0.96;2.3;16;Canchas de Indor;canchasdeindor;;;(canteracerrogrande)-[:DISTANCIA { distancia:0.96, recorrido: 2.3}]->(canchasdeindor),
Primer Parque 4ta Et. Recreo;primerparque4taetrecreo;15;0.5;0.7;16;Canchas de Indor;canchasdeindor;;;(primerparque4taetrecreo)-[:DISTANCIA { distancia:0.5, recorrido: 0.7}]->(canchasdeindor),
Primer Parque 4ta Et. Recreo;primerparque4taetrecreo;15;0.78;0.9;17;Parque De La 5ta Etapa;parquedela5taetapa;;;(primerparque4taetrecreo)-[:DISTANCIA { distancia:0.78, recorrido: 0.9}]->(parquedela5taetapa),
;;;;;;;;;;
Parque;parque;19;5;9.7;18;Areas verdes;areasverdes;;;(parque)-[:DISTANCIA { distancia:5, recorrido: 9.7}]->(areasverdes),
Parque;parque;19;1.29;2.8;20;Hotel La Ría Durán;hotellariaduran;;;(parque)-[:DISTANCIA { distancia:1.29, recorrido: 2.8}]->(hotellariaduran),
Parque;parque;19;5.06;5.1;21;Iglesia de dios duran;iglesiadediosduran;;;(parque)-[:DISTANCIA { distancia:5.06, recorrido: 5.1}]->(iglesiadediosduran),
Areas verdes;areasverdes;18;1.37;2.5;20;Hotel La Ría Durán;hotellariaduran;;;(areasverdes)-[:DISTANCIA { distancia:1.37, recorrido: 2.5}]->(hotellariaduran),
Hotel La Ría Durán;hotellariaduran;20;5.02;6.8;21;Iglesia de dios duran;iglesiadediosduran;;;(hotellariaduran)-[:DISTANCIA { distancia:5.02, recorrido: 6.8}]->(iglesiadediosduran),
Hotel La Ría Durán;hotellariaduran;20;3.64;4.9;22;Iglesia Católica Santa María Reina de las Familias;iglesiacatolicasantamariareinadelasfamilias;;;(hotellariaduran)-[:DISTANCIA { distancia:3.64, recorrido: 4.9}]->(iglesiacatolicasantamariareinadelasfamilias),
Iglesia de dios duran;iglesiadediosduran;21;3.12;4.5;22;Iglesia Católica Santa María Reina de las Familias;iglesiacatolicasantamariareinadelasfamilias;;;(iglesiadediosduran)-[:DISTANCIA { distancia:3.12, recorrido: 4.5}]->(iglesiacatolicasantamariareinadelasfamilias),
Iglesia Católica Santa María Reina de las Familias;iglesiacatolicasantamariareinadelasfamilias;22;3.88;7.3;23;La Iglesia de Jesucristo SUD Capilla Ponton;laiglesiadejesucristosudcapillaponton;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA { distancia:3.88, recorrido: 7.3}]->(laiglesiadejesucristosudcapillaponton),
Iglesia Católica Santa María Reina de las Familias;iglesiacatolicasantamariareinadelasfamilias;22;3.48;6.3;24;"Iglesia Evangelica ""La Resurreccion""";iglesiaevangelicalaresurreccion;;;(iglesiacatolicasantamariareinadelasfamilias)-[:DISTANCIA { distancia:3.48, recorrido: 6.3}]->(iglesiaevangelicalaresurreccion),
La Iglesia de Jesucristo SUD Capilla Ponton;laiglesiadejesucristosudcapillaponton;23;1.38;2.6;25;Iglesia Evangélica Atrios de Alabanzas;iglesiaevangélicaatriosdealabanzas;;;(laiglesiadejesucristosudcapillaponton)-[:DISTANCIA { distancia:1.38, recorrido: 2.6}]->(iglesiaevangélicaatriosdealabanzas),
"Iglesia Evangelica ""La Resurreccion""";iglesiaevangelicalaresurreccion;24;2.33;3.1;26;Iglesia Católica Inmaculada Concepción;iglesiacatolicainmaculadaconcepcion;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA { distancia:2.33, recorrido: 3.1}]->(iglesiacatolicainmaculadaconcepcion),
"Iglesia Evangelica ""La Resurreccion""";iglesiaevangelicalaresurreccion;24;0.7;0.9;25;Iglesia Evangélica Atrios de Alabanzas;iglesiaevangélicaatriosdealabanzas;;;(iglesiaevangelicalaresurreccion)-[:DISTANCIA { distancia:0.7, recorrido: 0.9}]->(iglesiaevangélicaatriosdealabanzas),
Iglesia Evangélica Atrios de Alabanzas;iglesiaevangélicaatriosdealabanzas;25;2.17;3.6;26;Iglesia Católica Inmaculada Concepción;iglesiacatolicainmaculadaconcepcion;;;(iglesiaevangélicaatriosdealabanzas)-[:DISTANCIA { distancia:2.17, recorrido: 3.6}]->(iglesiacatolicainmaculadaconcepcion),
Iglesia Católica Inmaculada Concepción;iglesiacatolicainmaculadaconcepcion;26;0.44;0.65;27;Iglesia Evangélica Apostólica del Nombre de Jesús;iglesiaevangelicaapostolicadelnombredejesus;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA { distancia:0.44, recorrido: 0.65}]->(iglesiaevangelicaapostolicadelnombredejesus),
Iglesia Evangélica Atrios de Alabanzas;iglesiaevangélicaatriosdealabanzas;25;1.82;2.9;27;Iglesia Evangélica Apostólica del Nombre de Jesús;iglesiaevangelicaapostolicadelnombredejesus;;;(iglesiaevangélicaatriosdealabanzas)-[:DISTANCIA { distancia:1.82, recorrido: 2.9}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;;;;
El Shaddai Iglesia Cristiana;elshaddaiiglesiacristiana;28;1.49;2.5;29;Parroquia 5 de Junio Durán;parroquia5dejunioduran;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:1.49, recorrido: 2.5}]->(parroquia5dejunioduran),
El Shaddai Iglesia Cristiana;elshaddaiiglesiacristiana;28;1.98;3;30;Iglesia Católica San Gabriel Arcángel - Durán;iglesiacatolicasangabrielarcangelduran;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:1.98, recorrido: 3}]->(iglesiacatolicasangabrielarcangelduran),
